problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,pass@1,4.0,15.0,10.0,20.0,19.0,30.0,66.6,127.44,2.67,339.83,18.88,0.0425,9.0,30.0,31.0,13.33,71.45,71.59
586C,pass@2,8.0,25.0,21.0,39.0,33.0,60.0,140.1,302.66,6.24,1888.62,104.92,0.1009,13.0,36.0,36.0,19.44,69.95,70.08
586C,pass@3,4.0,15.0,13.0,26.0,19.0,39.0,66.6,165.67,3.47,574.32,31.91,0.0552,8.0,29.0,29.0,3.45,62.32,62.46
586C,pass@4,5.0,9.0,9.0,16.0,14.0,25.0,40.14,95.18,4.44,423.04,23.5,0.0317,7.0,23.0,23.0,34.78,82.84,82.98
586C,pass@5,3.0,12.0,11.0,22.0,15.0,33.0,47.77,128.93,2.75,354.55,19.7,0.043,0.0,21.0,21.0,4.76,68.21,69.16
586C,pass@6,3.0,13.0,8.0,16.0,16.0,24.0,52.86,96.0,1.85,177.23,9.85,0.032,7.0,26.0,27.0,15.38,75.05,75.19
586C,pass@7,4.0,15.0,13.0,26.0,19.0,39.0,66.6,165.67,3.47,574.32,31.91,0.0552,0.0,20.0,20.0,15.0,75.9,77.11
586C,pass@8,6.0,14.0,12.0,24.0,20.0,36.0,68.81,155.59,5.14,800.17,44.45,0.0519,0.0,22.0,22.0,36.36,81.77,83.11
586C,pass@10,4.0,13.0,10.0,20.0,17.0,30.0,56.11,122.62,3.08,377.3,20.96,0.0409,4.0,17.0,17.0,0.0,57.46,58.0
586C,pass@14,4.0,12.0,8.0,16.0,16.0,24.0,51.02,96.0,2.67,256.0,14.22,0.032,7.0,24.0,24.0,8.33,71.4,71.54
586C,pass@15,5.0,20.0,13.0,26.0,25.0,39.0,98.05,181.11,3.25,588.61,32.7,0.0604,9.0,30.0,30.0,0.0,50.49,50.76
586C,pass@16,3.0,15.0,14.0,28.0,18.0,42.0,63.36,175.14,2.8,490.38,27.24,0.0584,8.0,26.0,26.0,7.69,68.11,68.24
586C,pass@18,4.0,13.0,12.0,24.0,17.0,36.0,56.11,147.15,3.69,543.32,30.18,0.049,0.0,22.0,22.0,27.27,80.14,81.36
586C,pass@19,5.0,19.0,18.0,36.0,24.0,54.0,92.32,247.59,4.74,1172.79,65.15,0.0825,14.0,34.0,35.0,0.0,47.54,47.67
586C,pass@20,3.0,11.0,6.0,12.0,14.0,18.0,42.81,68.53,1.64,112.14,6.23,0.0228,6.0,25.0,26.0,32.0,82.28,82.42
586C,pass@21,4.0,14.0,7.0,14.0,18.0,21.0,61.3,87.57,2.0,175.14,9.73,0.0292,7.0,24.0,25.0,29.17,81.14,81.27
586C,pass@24,4.0,12.0,8.0,16.0,16.0,24.0,51.02,96.0,2.67,256.0,14.22,0.032,7.0,32.0,33.0,18.75,74.77,74.91
586C,pass@25,4.0,13.0,14.0,27.0,17.0,41.0,56.11,167.59,4.15,696.13,38.67,0.0559,0.0,24.0,24.0,20.83,76.68,78.03
586C,pass@28,5.0,13.0,9.0,18.0,18.0,27.0,59.72,112.59,3.46,389.73,21.65,0.0375,8.0,34.0,35.0,17.65,73.1,73.23
586C,pass@29,6.0,21.0,16.0,32.0,27.0,48.0,107.75,228.23,4.57,1043.36,57.96,0.0761,0.0,35.0,36.0,22.86,71.98,73.99
586C,pass@30,3.0,12.0,7.0,14.0,15.0,21.0,47.77,82.04,1.75,143.58,7.98,0.0273,11.0,34.0,34.0,14.71,72.44,72.58
586C,pass@31,5.0,14.0,17.0,34.0,19.0,51.0,64.91,216.64,6.07,1315.34,73.07,0.0722,11.0,38.0,38.0,10.53,65.78,65.91
586C,pass@32,3.0,10.0,7.0,14.0,13.0,21.0,37.97,77.71,2.1,163.19,9.07,0.0259,8.0,35.0,29.0,11.43,72.63,72.63
590B,pass@1,7.0,28.0,17.0,34.0,35.0,51.0,154.26,261.59,4.25,1111.77,61.77,0.0872,2.0,27.0,27.0,33.33,78.66,78.79
590B,pass@2,8.0,56.0,42.0,84.0,64.0,126.0,349.21,756.0,6.0,4536.0,252.0,0.252,3.0,29.0,33.0,24.14,71.07,71.2
590B,pass@3,8.0,49.0,33.0,66.0,57.0,99.0,299.12,577.46,5.39,3111.19,172.84,0.1925,2.0,30.0,34.0,23.33,71.47,71.61
590B,pass@4,6.0,27.0,19.0,38.0,33.0,57.0,143.89,287.53,4.22,1214.02,67.45,0.0958,2.0,22.0,22.0,36.36,80.98,80.98
590B,pass@5,6.0,22.0,13.0,26.0,28.0,39.0,113.62,187.49,3.55,664.73,36.93,0.0625,4.0,23.0,23.0,13.04,74.01,73.74
